State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Mizoram,Champhai,0.0099894575615588,0.3730784039212589,0.1176336919287721,0.3651019259592911,0.0982636987265552,0.6588654274744878,27.55153115293817,28.622181563304277,21.40818294363476,630,577,799
Mizoram,Hnahthial,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2941603104005054,0.1356032474574054,0.5173379938360513,28.3637202526888,28.65943261535708,26.679448508430465,561,573,567
Mizoram,Khawzawl,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.295730953650309,0.1357014141902359,0.5173379938360513,28.397096452341486,28.692317981345607,26.711843040754847,557,571,565
Mizoram,Kolasib,0.0064666413405073,0.4590445437035553,0.139792945825862,0.360352167908692,0.0937222371870027,0.645273215056369,28.1046601251456,31.261500922977152,21.512186841751173,590,329,798
Mizoram,Lawngtlai,0.0091325391309972,0.4386588846841541,0.1847631084335415,0.1972156785798136,0.0986227864613414,0.4727120196434672,21.78788040748935,25.68648731151641,16.914275615630153,838,775,840
Mizoram,Lunglei,0.0130951259085749,0.4019037490338807,0.126219948360362,0.29673963617804,0.098270933704075,0.6364421738258146,26.17219436627252,28.101812201737395,20.01248715425507,720,625,812
Mizoram,Mamit,0.0066668319111391,0.410845168366605,0.0916979821511184,0.3161185313045521,0.0980642645068998,0.5937688232673792,25.31780052497664,28.243940357422293,18.702000131282865,754,613,826
Mizoram,Saiha,0.0040159153488497,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5436428129122561,27.123910592381343,27.136087331958635,23.98865076272221,672,701,728
Mizoram,Saitual,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.2964710172919576,0.1357297170629718,0.5173379938360513,28.41246378262917,28.70754379726962,26.72692734231517,555,568,562
Mizoram,Serchhip,0.0046866752123122,0.393091126113651,0.1385924542649806,0.3751162429319175,0.0947822974313719,0.6697136484492477,28.202813084283303,29.47311872282544,22.10126417268467,579,478,792
Mizoram,Siaha,0.1318648278850407,0.3864857784585785,0.224255337347413,0.2642423036238658,0.094007387142644,0.6298317832646897,28.506337196384724,29.15757351601494,25.23472496311065,546,529,660
Nagaland,Chumoukedima,0.1318648278850407,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.1361262915942151,0.5173379938360513,29.083303615001533,29.37640075698576,27.3938014293751,492,516,511
Nagaland,Dimapur,0.0319408626918632,0.3187362196963877,0.251152389733258,0.2141983591648485,0.1250018119910027,0.6336506345826207,25.79471946290316,24.290085652199057,22.275780446033654,738,816,787
Nagaland,Kiphire,0.0055220390357902,0.2630959856255374,0.2692153853201722,0.0616587431416736,0.0936155712799402,0.4378791392327755,17.296623563260695,16.33500010196995,15.63356346820252,850,851,847
Nagaland,Kohima,0.0221365673037388,0.261224965430373,0.2406927940688225,0.2002432588092495,0.1161263953185289,0.62505509790869,24.290403981796103,21.582917221187657,21.22337246883336,786,840,800
Nagaland,Longleng,0.0039067920191969,0.3196097674885542,0.283579538726096,0.1003954892418418,0.0922035395825915,0.4283087454998702,18.52818438901651,18.938528036057743,16.56126859188911,849,848,842
Nagaland,Mokokchung,0.0165024820356634,0.2793485928073937,0.2022561947128585,0.1427088811547722,0.1044512220850941,0.6270656701372235,22.630612983457592,20.798853044716143,18.856154224896105,824,844,825
Nagaland,Mon,0.0188786835787185,0.2985106447766348,0.2128882802135533,0.0807413422117328,0.0968096634469487,0.3916305835596702,16.87519470584329,17.80872387029218,14.345949744799585,851,849,851
