State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Assam,Tinsukia,72.8,71.7,66.4,10.8,8.9,19.3,17.1,4.9,2.0,83.2,82.6,60.0,5163,40.9,66.7,96.8,95.7,25.6,43.7,15.7,51.1,23.1,32.2,32.8,21.5,17.6,16.9,70.7,63.1,43.8,0.2,0.0,0.2
Assam,Udalguri,81.5,63.9,77.6,9.4,6.6,22.6,19.7,3.2,2.3,87.9,86.2,70.6,6731,34.0,73.8,82.3,95.5,23.8,35.1,11.1,50.8,12.2,32.5,33.8,21.3,16.1,14.0,50.1,49.8,44.2,0.3,0.2,0.2
Assam,West Karbi Anglong,57.9,38.8,79.0,8.6,6.0,22.2,17.0,6.8,2.9,84.5,72.5,63.1,3597,17.7,76.7,44.7,94.7,21.7,54.2,23.0,58.2,20.2,31.1,40.9,23.2,13.1,9.4,55.5,46.7,39.9,0.2,0.0,0.0
Bihar,Araria,67.9,70.5,75.8,10.1,6.9,15.8,12.1,16.3,6.0,70.3,66.2,19.5,3606,15.2,32.2,100.0,96.2,16.8,8.4,0.2,53.2,12.3,47.8,49.9,23.9,30.4,9.9,41.6,25.8,17.6,0.7,1.1,0.7
Bihar,Arwal,66.9,70.4,65.8,9.3,6.3,14.0,12.9,13.4,5.0,83.1,79.2,15.6,1933,29.3,43.4,99.9,97.4,32.9,25.2,0.6,47.9,2.4,52.9,45.6,36.8,31.9,12.4,57.4,34.5,17.2,0.2,0.4,0.2
Bihar,Aurangabad,60.5,53.1,68.4,8.9,6.5,15.3,16.2,7.1,2.5,84.6,77.5,15.4,1804,38.9,47.1,100.0,97.7,36.9,23.9,1.1,46.7,3.3,48.7,41.2,32.9,25.8,10.0,53.6,29.3,20.3,0.0,0.0,0.0
Bihar,Banka,65.9,68.6,77.8,7.2,7.2,18.8,17.4,6.9,2.3,80.4,79.8,13.6,8076,32.3,38.2,96.3,96.2,22.6,17.9,0.5,49.4,1.8,45.8,46.7,26.9,23.8,13.4,70.7,31.7,24.5,0.0,0.6,0.0
Bihar,Begusarai,62.9,58.7,74.5,9.1,6.8,17.0,13.9,11.9,3.1,85.6,86.0,13.2,1710,45.2,62.2,99.1,96.2,34.1,13.7,0.4,49.6,4.0,35.6,37.8,21.0,26.0,17.6,46.5,21.6,21.4,0.2,0.2,0.0
Bihar,Bhagalpur,73.0,63.7,78.7,8.5,7.5,14.7,13.3,10.9,1.1,77.5,77.2,16.3,2975,49.2,60.9,98.0,94.5,35.1,21.2,0.2,47.3,2.4,40.4,40.0,21.2,22.9,19.4,53.3,27.6,28.0,1.2,1.6,1.3
Bihar,Bhojpur,73.6,68.3,67.7,9.6,6.8,14.5,13.9,11.8,1.4,87.5,86.9,9.6,2214,42.9,45.9,99.7,97.9,34.6,17.8,0.5,43.7,2.4,44.0,40.7,31.3,23.1,20.8,42.7,33.5,15.5,0.3,0.5,0.3
